Hẹp động mạch thận phải có tiến hành hiến thận được không ?	disease* Hẹp động mạch thận *disease phải có tiến hành procedure* hiến thận *procedure được không ?
Mắt bị mờ , khó nhìn cần làm gì giúp khắc phục ?	disease* Mắt bị mờ *disease , disease* khó nhìn *disease cần làm gì giúp khắc phục ?
Sau mổ tái tạo dây chằng 2 năm vẫn bị nhói đau , phải làm gì ?	Sau procedure* mổ tái tạo dây chằng *procedure 2 năm vẫn bị disease* nhói đau *disease , phải làm gì ?
Bé 27 ngày tuổi thường nôn trớ , quấy khóc , ngủ hay giật mình có bệnh gì không ?	Bé 27 ngày tuổi thường disease* nôn trớ *disease , disease* quấy khóc *disease , disease* ngủ hay giật mình *disease có bệnh gì không ?
Xét nghiệm FSH tăng nhẹ , tinh dịch đồ thấp có phải suy sinh dục không ?	Xét nghiệm FSH tăng nhẹ , disease* tinh dịch đồ thấp *disease có phải disease* suy sinh dục *disease không ?
Thuốc tránh thai định kỳ có làm tăng nguy cơ sỏi túi mật ?	drug* Thuốc tránh thai *drug định kỳ có làm tăng nguy cơ disease* sỏi túi mật *disease ?
Bị bệnh lao hạch và lao phổi cùng lúc có chữa khỏi được không ?	Bị bệnh disease* lao hạch và lao phổi *disease cùng lúc có chữa khỏi được không ?
Bé được 1 tháng 21 ngày thì có tiêm lao được không ?	Bé được 1 tháng 21 ngày thì có procedure* tiêm *procedure disease* lao *disease được không ?
Điều trị dứt điểm huyết khối tĩnh mạch chi như thế nào ?	Điều trị dứt điểm disease* huyết khối tĩnh mạch chi *disease như thế nào ?
Trước khi tiêm vắc-xin 6 trong 1 cần chuẩn bị gì cho trẻ ?	Trước khi procedure* tiêm vắc-xin 6 trong 1 cần *procedure chuẩn bị gì cho trẻ ?
Thời tiết nắng nóng có thể cho trẻ uống viên sủi vitamin C hay không ?	Thời tiết nắng nóng có thể cho trẻ uống drug* viên sủi vitamin C *drug hay không ?
Trẻ 6 tuổi bị táo bón nặng nên điều trị thế nào ?	Trẻ 6 tuổi bị disease* táo bón nặng *disease nên điều trị thế nào ?
Thuốc điều trị động kinh có ảnh hưởng đến khả năng có con sau này không ?	Thuốc điều trị disease* động kinh *disease có ảnh hưởng đến khả năng có con sau này không ?
Ra máu âm đạo , chỉ số HCG 7,99 có phải là dấu hiệu sảy thai sớm ?	disease* Ra máu âm đạo *disease , chỉ số HCG 7,99 có phải là dấu hiệu disease* sảy thai *disease sớm ?
Người mắc bệnh trào ngược dạ dày nên dùng thuốc gì ?	Người mắc bệnh disease* trào ngược dạ dày *disease nên dùng thuốc gì ?
Chỉ số HBeAg là 36,5 khi điều trị viêm gan B có ý nghĩa thế nào ?	Chỉ số HBeAg là 36,5 khi điều trị disease* viêm gan B *disease có ý nghĩa thế nào ?
Trẻ uống thuốc hạ sốt rồi lạnh tay chân có nguy hiểm không ?	Trẻ uống drug* thuốc hạ sốt *drug rồi disease* lạnh tay chân *disease có nguy hiểm không ?
3 tháng sau sinh quan hệ có sao không ?	3 tháng sau sinh quan hệ có sao không ?
Bệnh viêm niêm mạc đại trực tràng không đặc hiệu là gì ?	Bệnh disease* viêm niêm mạc đại trực tràng không đặc hiệu *disease là gì ?
Khó thở do suy nhược thần kinh nên uống thuốc gì ?	disease* Khó thở *disease do disease* suy nhược thần kinh *disease nên uống thuốc gì ?
Bé trai 3,5 tháng bị sưng tinh hoàn 1 bên có sao không ?	Bé trai 3,5 tháng bị disease* sưng tinh hoàn 1 bên *disease có sao không ?
Đau , sưng tay sau khi tiêm nhầm vắc-xin phải làm sao ?	disease* Đau *disease , disease* sưng tay *disease sau khi procedure* tiêm procedure* *procedure nhầm vắc-xin *procedure phải làm sao ?
Thường xuyên run tay là triệu chứng của bệnh gì ?	Thường xuyên disease* run tay *disease là triệu chứng của bệnh gì ?
Trẻ có kinh nguyệt sớm có nguy hiểm không ?	Trẻ có disease* kinh nguyệt sớm *disease có nguy hiểm không ?
Niêm mạc tử cung mỏng khó mang thai	disease* Niêm mạc tử cung mỏng *disease khó mang thai
Bốc hoả trong người , thi thoảng khó thở là triệu chứng bệnh gì ?	Bốc hoả trong người , thi thoảng disease* khó thở *disease là triệu chứng bệnh gì ?
Trẻ sốt , tiêu chảy kéo dài là dấu hiệu bệnh gì ?	Trẻ disease* sốt *disease , disease* tiêu chảy disease* *disease kéo dài *disease là dấu hiệu bệnh gì ?
Lão hoá ở người già phải làm sao ?	disease* Lão hoá disease* *disease ở người già *disease phải làm sao ?
Tăng tiết nước bọt điều trị thế nào ?	disease* Tăng tiết nước bọt *disease điều trị thế nào ?
Kẹp clip khi nội soi dạ dày có thể tự tiêu được không ?	procedure* Kẹp clip *procedure khi procedure* nội soi dạ dày *procedure có thể tự tiêu được không ?
Điều trị suy giãn tĩnh mạch chi dưới hiệu quả	Điều trị disease* suy giãn tĩnh mạch chi dưới *disease hiệu quả
Trẻ tiêm phòng cúm về bị sốt cao , ho và chảy nước mũi	Trẻ tiêm phòng disease* cúm *disease về bị disease* sốt cao *disease , disease* ho *disease và disease* chảy nước mũi *disease
Uống nhiều bia rượu nôn ra máu dấu hiệu bệnh gì ?	Uống nhiều bia rượu disease* nôn ra máu *disease dấu hiệu bệnh gì ?
Trẻ sơ sinh bị nổi cục cứng ở cổ có nguy hiểm không ?	Trẻ sơ sinh bị disease* nổi cục cứng ở cổ *disease có nguy hiểm không ?
Trẻ đang tập đi nhưng bàn chân không thẳng có bị vấn đề xương khớp không ?	Trẻ đang tập đi nhưng disease* bàn chân không thẳng *disease có bị vấn đề xương khớp không ?
Nuốt vướng , đau họng có phải dấu hiệu ung thư vòm họng không ?	disease* Nuốt vướng *disease , disease* đau họng *disease có phải dấu hiệu disease* ung thư vòm họng *disease không ?
Chảy máu dưới nhện nên làm gì ?	disease* Chảy máu dưới nhện *disease nên làm gì ?
Trẻ 18 ngày tuổi nên bổ sung liều lượng Vitamin K như thế nào ?	Trẻ 18 ngày tuổi nên bổ sung liều lượng drug* Vitamin K *drug như thế nào ?
Nồng độ HCG là 195,4 IU / L liệu đã có thai chưa ?	Nồng độ HCG là 195,4 IU / L liệu đã disease* có thai *disease chưa ?
Hỏi đáp : Xuất hiện nhiều vết sọc trên răng có phải bệnh sún răng ở trẻ nhỏ ?	Hỏi đáp : disease* Xuất hiện nhiều vết sọc trên răng *disease có phải disease* bệnh sún răng *disease ở trẻ nhỏ ?
Viêm tai giữa chảy mủ điều trị thế nào ?	disease* Viêm tai giữa chảy mủ *disease điều trị thế nào ?
Sau quan hệ 3 , 4 ngày đau bụng dưới râm ran , hơi tưng tức có phải dấu hiệu mang thai không ?	Sau quan hệ 3 , 4 ngày disease* đau bụng dưới râm ran *disease , disease* hơi tưng tức *disease có phải dấu hiệu disease* mang thai *disease không ?
Mang thai khi bị suy giáp có nguy hiểm không ?	disease* Mang thai *disease khi bị disease* suy giáp *disease có nguy hiểm không ?
Trẻ đổ mồ hôi đầu có phải thiếu vitamin D không ?	Trẻ đổ disease* mồ hôi đầu *disease có phải thiếu drug* vitamin D *drug không ?
Sau quan hệ 1 tuần dùng thuốc tránh thai có tác dụng nữa không ?	Sau quan hệ 1 tuần dùng drug* thuốc tránh thai *drug có tác dụng nữa không ?
Trẻ đã hạ sốt sau khi uống thuốc nhưng đi phân ngoài có nước có nên đưa bé đi khám không ?	Trẻ đã hạ sốt sau khi uống thuốc nhưng disease* đi phân ngoài có nước *disease có nên đưa bé đi khám không ?
Tình trạng viêm gan B hoạt động có chỉ số xét nghiệm thế nào ?	Tình trạng disease* viêm gan B *disease hoạt động có chỉ số procedure* xét nghiệm *procedure thế nào ?
Triệu chứng đau thượng vị kèm theo xuất hiện đường dây bên hông là dấu hiệu nhiễm ký sinh trùng ?	Triệu chứng disease* đau thượng vị *disease kèm theo disease* xuất hiện đường dây bên hông *disease là dấu hiệu disease* nhiễm ký sinh trùng *disease ?
Tức ngực , khó thở , giật mình khi ngủ là dấu hiệu bệnh gì ?	disease* Tức ngực *disease , disease* khó thở *disease , disease* giật mình disease* *disease khi ngủ *disease là dấu hiệu bệnh gì ?
Phương pháp điều trị đột quỵ não nào tốt nhất ?	Phương pháp điều trị disease* đột quỵ não *disease nào tốt nhất ?
Trẻ hơn 5 tuổi răng cửa bị sún vào lợi có nên nhổ không ?	Trẻ hơn 5 tuổi disease* răng cửa bị sún vào lợi *disease có nên procedure* nhổ *procedure không ?
Bệnh u mạch máu gan có nguy hiểm không ?	disease* Bệnh u mạch máu gan *disease có nguy hiểm không ?
Cổ họng như bị chặn lại là dấu hiệu bệnh lý gì ?	disease* Cổ họng như bị chặn lại *disease là dấu hiệu bệnh lý gì ?
Cơ thể mệt mỏi , ớn lạnh có phải do men gan tăng ?	Cơ thể disease* mệt mỏi *disease , disease* ớn lạnh *disease có phải do disease* men gan tăng *disease ?
Bị rối loạn lưỡng cực phải làm sao ?	Bị disease* rối loạn lưỡng cực *disease phải làm sao ?
Có thể phẫu thuật đục thuỷ tinh thể để mắt sáng lại bình thường không ?	Có thể procedure* phẫu thuật đục thuỷ tinh thể *procedure để mắt sáng lại bình thường không ?
Lên cơn hen suyễn gây chết não tạm thời do thiếu oxy não có bình phục được không ?	Lên cơn disease* hen suyễn *disease gây disease* chết não *disease tạm thời do disease* thiếu oxy *disease não có bình phục được không ?
Rối loạn kinh nguyệt có được dùng thuốc tránh thai Marvelon ?	disease* Rối loạn kinh nguyệt *disease có được dùng drug* thuốc tránh thai Marvelon *drug ?
Ngôi thai cao lỏng là gì , có ảnh hưởng đến em bé và mẹ không ?	disease* Ngôi thai cao lỏng *disease là gì , có ảnh hưởng đến em bé và mẹ không ?
Uống thuốc điều trị viêm tai giữa không khỏi cần phải làm gì ?	Uống thuốc điều trị disease* viêm tai giữa *disease không khỏi cần phải làm gì ?
Ngoài vắc-xin 6 trong 1 , trẻ dưới 2 tuổi có thể tiêm thêm những vắc-xin nào ?	Ngoài drug* vắc-xin 6 trong 1 *drug , trẻ dưới 2 tuổi có thể procedure* tiêm *procedure thêm những vắc-xin nào ?
Bệnh đa hồng cầu có thuốc chữa và cách điều trị không ?	disease* Bệnh đa hồng cầu *disease có thuốc chữa và cách điều trị không ?
Mất ngủ , muốn làm đau bản thân là triệu chứng của bệnh gì ?	disease* Mất ngủ *disease , disease* muốn làm đau bản thân *disease là triệu chứng của bệnh gì ?
Xuất hiện thêm trứng dái nằm giữa 2 tinh hoàn có nguy hiểm không ?	Xuất hiện thêm disease* trứng dái nằm giữa 2 tinh hoàn *disease có nguy hiểm không ?
Thường xuyên ê buốt và chảy máu chân răng phải làm sao ?	Thường xuyên disease* ê buốt *disease và disease* chảy máu chân răng *disease phải làm sao ?
Phương pháp giúp cải thiện tình trạng sức khoẻ ở người nghiện rượu	Phương pháp giúp cải thiện tình trạng sức khoẻ ở người disease* nghiện rượu *disease
Sinh thiết dưới hướng dẫn siêu âm có cho kết quả chính xác không ?	procedure* Sinh thiết *procedure dưới hướng dẫn procedure* siêu âm *procedure có cho kết quả chính xác không ?
Có nên đưa trẻ đi xét nghiệm HP ngay hay không khi trẻ ngậm nước bọt người lớn ?	Có nên đưa trẻ đi procedure* xét nghiệm HP *procedure ngay hay không khi trẻ ngậm nước bọt người lớn ?
nCoV với virus corona là một bệnh hay hai bệnh khác nhau ?	nCoV với disease* virus corona *disease là một bệnh hay hai bệnh khác nhau ?
Thai 17 tuần đã bị thiếu ối , phải làm thế nào ?	Thai 17 tuần đã bị disease* thiếu ối *disease , phải làm thế nào ?
Người lúc nóng lúc lạnh có sao không ?	disease* Người lúc nóng lúc lạnh *disease có sao không ?
Giãn tĩnh mạch thừng tinh trái có ảnh hưởng đến khả năng sinh sản không ?	disease* Giãn tĩnh mạch thừng tinh *disease trái có ảnh hưởng đến khả năng sinh sản không ?
Phải làm thế nào khi âm đạo có mùi hôi ?	Phải làm thế nào khi disease* âm đạo có mùi hôi *disease ?
Bị u mỡ thận có thể uống sữa Anlene không ?	Bị disease* u mỡ thận *disease có thể uống drug* sữa Anlene *drug không ?
Bé sơ sinh bị giãn đài bể thận trái 6mm có nguy hiểm không ?	Bé sơ sinh bị disease* giãn đài bể thận trái *disease 6mm có nguy hiểm không ?
Mụn sưng to kèm sốt sau khi nặn là bị làm sao ?	disease* Mụn sưng to *disease kèm disease* sốt *disease sau khi nặn là bị làm sao ?
Sau sinh thường xuyên chóng mặt thì phải làm sao ?	Sau sinh thường xuyên disease* chóng mặt *disease thì phải làm sao ?
Một bên tinh hoàn sưng đau kèm sốt khi bị quai bị phải làm sao ?	disease* Một bên tinh hoàn sưng đau kèm sốt *disease khi bị disease* quai bị *disease phải làm sao ?
Ù tai lâu ngày là dấu hiệu của bệnh gì ?	disease* Ù tai *disease lâu ngày là dấu hiệu của bệnh gì ?
Trẻ 5 tuổi lung lay răng cửa có thể nhổ không ?	Trẻ 5 tuổi disease* lung lay răng cửa *disease có thể nhổ không ?
Ứ nước khi đặt ống Sonde JJ trong niệu quản có sao không ?	disease* Ứ nước *disease khi đặt ống Sonde JJ trong niệu quản có sao không ?
Hỏi đáp : Thường xuyên mất tập trung , hay quên là bệnh gì ?	Hỏi đáp : disease* Thường xuyên mất tập trung , hay quên *disease là bệnh gì ?
Mang thai 27 tuần có chụp MRI khớp gối được không ?	disease* Mang thai *disease 27 tuần có procedure* chụp MRI *procedure khớp gối được không ?
Bé 9 tháng nặng 8,2 kg có phải thiếu sắt không ?	Bé 9 tháng nặng 8,2 kg có phải disease* thiếu sắt *disease không ?
Vết thương do mèo cắn bị chảy máu , sưng tấy và mưng mủ đã khỏi nhưng một thời gian lại tái phát là hiện tượng gì ?	Vết thương do mèo cắn disease* bị chảy máu *disease , disease* sưng tấy *disease và disease* mưng mủ *disease đã khỏi nhưng một thời gian lại tái phát là hiện tượng gì ?
Bệnh nhân đã phẫu thuật cắt dạ dày 100% sau 4 năm có uống được sữa không ?	Bệnh nhân đã phẫu thuật procedure* cắt dạ dày *procedure 100% sau 4 năm có uống được sữa không ?
Thuốc điều trị huyết áp có ảnh hưởng đến thai nhi không ?	drug* Thuốc điều trị huyết áp *drug có ảnh hưởng đến thai nhi không ?
Bé ngạt một bên mũi và thở gấp là bệnh gì , phương pháp điều trị ra sao ?	Bé disease* ngạt một bên mũi *disease và disease* thở gấp *disease là bệnh gì , phương pháp điều trị ra sao ?
Lõm ở ngực bé có đáng lo không ?	disease* Lõm ở ngực *disease bé có đáng lo không ?
Tụt lợi , lợi hơi sưng đỏ , chảy máu chân răng là bị làm sao ?	disease* Tụt lợi *disease , disease* lợi hơi sưng đỏ *disease , disease* chảy máu chân răng *disease là bị làm sao ?
Trẻ 5 tuổi còn tiêm phòng lao được không ?	Trẻ 5 tuổi còn procedure* tiêm phòng *procedure disease* lao *disease được không ?
Thuốc imunoglukan có tăng sức đề kháng và giảm ho cho trẻ sơ sinh không ?	drug* Thuốc imunoglukan *drug có tăng sức đề kháng và giảm disease* ho *disease cho trẻ sơ sinh không ?
U tuyến yên ( kích thước 12x6 và 3 x 5 ) liệu có phải mổ không ?	disease* U tuyến yên *disease ( kích thước 12x6 và 3 x 5 ) liệu có phải procedure* mổ *procedure không ?
Có cách nào điều trị viêm tai giữa mà không cần dùng kháng sinh không ?	Có cách nào điều trị disease* viêm tai giữa *disease mà không cần dùng drug* kháng sinh *drug không ?
Bé nổi ban sau sốt , tiêu chảy là do đâu ?	Bé nổi ban sau disease* sốt *disease , disease* tiêu chảy *disease là do đâu ?
Bị u tuyến giáp và tiểu đường nhẹ có uống được sữa non Alpha Lipid không ?	Bị disease* u tuyến giáp *disease và disease* tiểu đường *disease nhẹ có uống được sữa non Alpha Lipid không ?
Ho , khó thở sau điều trị viêm phổi là do đâu ?	disease* Ho *disease , disease* khó thở *disease sau điều trị disease* viêm phổi *disease là do đâu ?
Quan hệ chưa xuất tinh có khả năng mang thai không ?	Quan hệ disease* chưa xuất tinh *disease có khả năng disease* mang thai *disease không ?
Thai 22 tuần có phá được không ?	disease* Thai *disease 22 tuần có procedure* phá *procedure được không ?
Thường xuyên mắc tiểu nhưng tiểu ít , đau bụng dưới có phải nhiễm trùng đường tiết niệu không ?	Thường xuyên mắc tiểu nhưng disease* tiểu ít *disease , disease* đau bụng dưới *disease có phải disease* nhiễm trùng đường tiết niệu *disease không ?
Nguyên nhân khiến cơ thể mẩn ngứa trong mùa nắng nóng	Nguyên nhân khiến disease* cơ thể mẩn ngứa *disease trong mùa nắng nóng
Trẻ bị tay chân miệng cách ly bao lâu ?	Trẻ bị disease* tay chân miệng *disease cách ly bao lâu ?
Buổi chiều bị ớn lạnh , buổi tối người nóng ran là bị làm sao ?	Buổi chiều bị disease* ớn lạnh *disease , buổi tối disease* người nóng ran *disease là bị làm sao ?
Ớn lạnh , tiêu chảy sau quan hệ tình dục có nguy cơ nhiễm HIV không ?	disease* Ớn lạnh *disease , disease* tiêu chảy *disease sau quan hệ tình dục có nguy cơ nhiễm disease* HIV *disease không ?
Làm thế nào để trẻ sơ sinh ăn ngon và ngủ sâu giấc hơn ?	Làm thế nào để trẻ sơ sinh disease* ăn ngon *disease và disease* ngủ sâu giấc *disease hơn ?
Da dương vật nổi mụn , có mùi hôi , chảy máu là dấu hiệu bệnh lý gì ?	disease* Da dương vật nổi mụn *disease , disease* có mùi hôi *disease , disease* chảy máu *disease là dấu hiệu bệnh lý gì ?
Trẻ 19 tháng mới tiêm mũi sởi quai bị rubella có sao không ?	Trẻ 19 tháng mới procedure* tiêm *procedure mũi sởi quai bị rubella có sao không ?
Trẻ bú ít hay nôn và rùng mình có phải dấu hiệu viêm màng não ?	Trẻ bú ít hay disease* nôn *disease và disease* rùng mình *disease có phải dấu hiệu disease* viêm màng não *disease ?
Hỏi đáp : Đau ngực phải kèm theo nổi hạch là dấu hiệu bệnh gì ?	Hỏi đáp : disease* Đau ngực phải kèm theo nổi hạch *disease là dấu hiệu bệnh gì ?
Bé 10 tuổi có những biểu hiện của bệnh tự kỷ nhẹ nên xử lý như thế nào ?	Bé 10 tuổi có những biểu hiện của bệnh disease* tự kỷ *disease nhẹ nên xử lý như thế nào ?
Quan hệ chưa xuất tinh và uống thuốc tránh thai khẩn cấp liệu có thai không ?	Quan hệ disease* chưa xuất tinh *disease và uống thuốc tránh thai khẩn cấp liệu có thai không ?
Phụ nữ 40 tuổi thường đau bụng dưới cảnh báo điều gì ?	Phụ nữ 40 tuổi thường disease* đau bụng dưới *disease cảnh báo điều gì ?
Trẻ sơ sinh có đốt sống bị lồi ra ở ngang eo có đáng lo không ?	Trẻ sơ sinh có đốt sống bị disease* lồi ra ở ngang eo *disease có đáng lo không ?
Bị chấn thương mắt có cần kiêng các loại thức ăn hay không ?	Bị disease* chấn thương mắt *disease có cần kiêng các loại thức ăn hay không ?
Mức độ nhiễm tia bức xạ khi chụp X quang phổi có cao không ?	Mức độ nhiễm tia bức xạ khi procedure* chụp X quang phổi *procedure có cao không ?
Cách đây 2 năm , bố tôi được chẩn đoán bị phình động mạch não nhưng bác sỹ tư vấn không điều trị .	Cách đây 2 năm , bố tôi được chẩn đoán bị disease* phình động mạch não *disease nhưng bác sỹ tư vấn không điều trị .
Mất ngủ có phải là bệnh ?	disease* Mất ngủ *disease có phải là bệnh ?
Thuốc Tenofovir Alafenamide Tablets có ảnh hưởng đến thai nhi không ?	drug* Thuốc Tenofovir Alafenamide Tablets *drug có ảnh hưởng đến thai nhi không ?
Tiểu mất kiểm soát kèm ra máu , đau buốt là dấu hiệu bệnh gì , có nguy hiểm không ?	disease* Tiểu mất kiểm soát *disease disease* kèm ra máu *disease , disease* đau buốt *disease là dấu hiệu bệnh gì , có nguy hiểm không ?
Viêm kết mạc tái phát điều trị thế nào ?	disease* Viêm kết mạc *disease tái phát điều trị thế nào ?
Nam giới 32 tuổi bị đau đầu kèm chảy máu mũi là bị vấn đề gì ?	Nam giới 32 tuổi bị disease* đau đầu *disease kèm disease* chảy máu mũi *disease là bị vấn đề gì ?
Lạm dụng thuốc giảm đau có dẫn đến đau đầu , buồn nôn không ?	Lạm dụng drug* thuốc giảm đau *drug có dẫn đến disease* đau đầu *disease , disease* buồn nôn *disease không ?
Hỏi đáp : Có mấy loại sỏi mật và triệu chứng nhận biết sỏi mật ?	Hỏi đáp : Có mấy loại disease* sỏi mật *disease và triệu chứng nhận biết disease* sỏi mật *disease ?
Chăm sóc sức khoẻ tại nhà cho trẻ mắc bệnh Tai - Mũi - Họng như thế nào ?	Chăm sóc sức khoẻ tại nhà cho trẻ mắc bệnh disease* Tai - Mũi - Họng *disease như thế nào ?
Bị liệt dây thần kinh số VII nhiều năm có thể mổ chỉnh hình khuôn mặt được không ?	Bị disease* liệt dây thần kinh số VII *disease nhiều năm có thể procedure* mổ chỉnh hình khuôn mặt *procedure được không ?
Mặt đỏ rát sau khi bị điện nổ có nguy hiểm không ?	disease* Mặt đỏ rát *disease sau khi bị điện nổ có nguy hiểm không ?
Đau sau zona thần kinh có thể chích Corticosteroid giảm đau được không ?	disease* Đau *disease sau disease* zona thần kinh *disease có thể procedure* chích *procedure drug* Corticosteroid *drug drug* giảm đau *drug được không ?
Đau bụng dưới và đau lưng khi đến chu kỳ kinh nguyệt	disease* Đau bụng dưới *disease và disease* đau lưng *disease khi đến chu kỳ kinh nguyệt
Có những cách nào kiểm tra lại hiệu quả điều trị diệt Hp ?	Có những cách nào kiểm tra lại hiệu quả điều trị disease* diệt Hp *disease ?
Để đặt vòng tránh thai thành công cần những yêu cầu gì ?	Để procedure* đặt vòng tránh thai *procedure thành công cần những yêu cầu gì ?
Nhồi máu não và xuất huyết não phải điều trị thế nào ?	disease* Nhồi máu não *disease và disease* xuất huyết não *disease phải điều trị thế nào ?
Phương pháp điều trị hẹp niệu đạo tái phát dứt điểm	Phương pháp điều trị disease* hẹp niệu đạo tái phát *disease dứt điểm
Phải làm sao khi đã tháo que cấy 8 tuần nhưng chưa có kinh lại ?	Phải làm sao khi đã procedure* tháo que cấy *procedure 8 tuần nhưng chưa có kinh lại ?
Đau khớp xương vùng tai mỗi khi há miệng cảnh báo bệnh lý gì ?	disease* Đau khớp xương vùng tai *disease mỗi khi há miệng cảnh báo bệnh lý gì ?
Đau thượng vị dạ dày có nguy cơ bị ung thư dạ dày không ?	disease* Đau thượng vị dạ dày *disease có nguy cơ bị disease* ung thư dạ dày *disease không ?
Cảm lạnh , hắt hơi , ngạt mũi có nên dùng thuốc Phaanedol Plus ?	disease* Cảm lạnh *disease , disease* hắt hơi *disease , disease* ngạt mũi *disease có nên dùng drug* thuốc Phaanedol Plus *drug ?
