Hẹp động_mạch thận phải có tiến_hành hiến thận được không ?	disease* Hẹp động_mạch thận *disease phải có tiến_hành procedure* hiến thận *procedure được không ?
Cảm_giác nghẹt ở giữa mũi và vòm họng , khó thở bằng mũi cảnh_báo bệnh gì ?	Cảm_giác disease* nghẹt ở giữa mũi *disease và disease* vòm họng *disease , disease* khó thở *disease bằng mũi cảnh_báo bệnh gì ?
Mắt bị mờ , khó nhìn cần làm gì giúp khắc_phục ?	disease* Mắt bị mờ *disease , disease* khó nhìn *disease cần làm gì giúp khắc_phục ?
Sau mổ tái_tạo dây_chằng 2 năm vẫn bị nhói đau , phải làm gì ?	Sau procedure* mổ tái_tạo dây_chằng *procedure 2 năm vẫn bị disease* nhói đau *disease , phải làm gì ?
Bé 27 ngày tuổi thường nôn trớ , quấy khóc , ngủ hay giật_mình có bệnh gì không ?	Bé 27 ngày tuổi thường disease* nôn trớ *disease , disease* quấy khóc *disease , disease* ngủ hay giật_mình *disease có bệnh gì không ?
Xét_nghiệm FSH tăng nhẹ , tinh_dịch đồ thấp có phải suy sinh_dục không ?	Xét_nghiệm FSH tăng nhẹ , disease* tinh_dịch đồ thấp *disease có phải disease* suy sinh_dục *disease không ?
Thuốc tránh thai định_kỳ có làm tăng nguy_cơ sỏi túi_mật ?	drug* Thuốc tránh thai *drug định_kỳ có làm tăng nguy_cơ disease* sỏi túi_mật *disease ?
Bị bệnh lao hạch và lao_phổi cùng lúc có chữa khỏi được không ?	Bị bệnh disease* lao hạch và lao_phổi *disease cùng lúc có chữa khỏi được không ?
Bé được 1 tháng 21 ngày thì có tiêm lao được không ?	Bé được 1 tháng 21 ngày thì có procedure* tiêm *procedure disease* lao *disease được không ?
Điều_trị dứt_điểm huyết khối tĩnh_mạch chi như_thế_nào ?	Điều_trị dứt_điểm disease* huyết khối tĩnh_mạch chi *disease như_thế_nào ?
Trước khi tiêm vắc-xin 6 trong 1 cần chuẩn_bị gì cho trẻ ?	Trước khi procedure* tiêm vắc-xin 6 trong 1 cần *procedure chuẩn_bị gì cho trẻ ?
Thời_tiết nắng_nóng có_thể cho trẻ uống viên sủi vitamin C hay không ?	Thời_tiết nắng_nóng có_thể cho trẻ uống drug* viên sủi vitamin C *drug hay không ?
Trẻ 6 tuổi bị táo_bón nặng nên điều_trị thế_nào ?	Trẻ 6 tuổi bị disease* táo_bón nặng *disease nên điều_trị thế_nào ?
Thuốc điều_trị động_kinh có ảnh_hưởng đến khả_năng có con sau_này không ?	Thuốc điều_trị disease* động_kinh *disease có ảnh_hưởng đến khả_năng có con sau_này không ?
Ra máu âm_đạo , chỉ_số HCG 7,99 có phải là dấu_hiệu sảy thai sớm ?	disease* Ra máu âm_đạo *disease , chỉ_số HCG 7,99 có phải là dấu_hiệu disease* sảy thai *disease sớm ?
Người mắc bệnh trào ngược dạ_dày nên dùng thuốc gì ?	Người mắc bệnh disease* trào ngược dạ_dày *disease nên dùng thuốc gì ?
Chỉ_số HBeAg là 36,5 khi điều_trị viêm gan B có ý_nghĩa thế_nào ?	Chỉ_số HBeAg là 36,5 khi điều_trị disease* viêm gan B *disease có ý_nghĩa thế_nào ?
Trẻ uống thuốc hạ sốt rồi lạnh tay_chân có nguy_hiểm không ?	Trẻ uống drug* thuốc hạ sốt *drug rồi disease* lạnh tay_chân *disease có nguy_hiểm không ?
3 tháng sau sinh quan_hệ có sao không ?	3 tháng sau sinh quan_hệ có sao không ?
Bệnh viêm niêm_mạc đại trực_tràng không đặc_hiệu là gì ?	Bệnh disease* viêm niêm_mạc đại trực_tràng không đặc_hiệu *disease là gì ?
Khó thở do suy_nhược_thần_kinh nên uống thuốc gì ?	disease* Khó thở *disease do disease* suy_nhược_thần_kinh *disease nên uống thuốc gì ?
Bé trai 3,5 tháng bị sưng tinh_hoàn 1 bên có sao không ?	Bé trai 3,5 tháng bị disease* sưng tinh_hoàn 1 bên *disease có sao không ?
Đau , sưng tay sau khi tiêm nhầm vắc-xin phải làm_sao ?	disease* Đau *disease , disease* sưng tay *disease sau khi procedure* tiêm procedure* *procedure nhầm vắc-xin *procedure phải làm_sao ?
Thường_xuyên run tay là triệu_chứng của bệnh gì ?	Thường_xuyên disease* run tay *disease là triệu_chứng của bệnh gì ?
Trẻ có kinh_nguyệt sớm có nguy_hiểm không ?	Trẻ có disease* kinh_nguyệt sớm *disease có nguy_hiểm không ?
Niêm_mạc tử_cung mỏng khó mang thai	disease* Niêm_mạc tử_cung mỏng *disease khó mang thai
Bốc_hoả trong người , thi_thoảng khó thở là triệu_chứng bệnh gì ?	Bốc_hoả trong người , thi_thoảng disease* khó thở *disease là triệu_chứng bệnh gì ?
Trẻ sốt , tiêu_chảy kéo_dài là dấu_hiệu bệnh gì ?	Trẻ disease* sốt *disease , disease* tiêu_chảy disease* *disease kéo_dài *disease là dấu_hiệu bệnh gì ?
Lão_hoá ở người già phải làm_sao ?	disease* Lão_hoá disease* *disease ở người già *disease phải làm_sao ?
Tăng tiết nước_bọt điều_trị thế_nào ?	disease* Tăng tiết nước_bọt *disease điều_trị thế_nào ?
Kẹp clip khi nội_soi dạ_dày có_thể tự tiêu được không ?	procedure* Kẹp clip *procedure khi procedure* nội_soi dạ_dày *procedure có_thể tự tiêu được không ?
Điều_trị suy giãn tĩnh_mạch chi dưới hiệu_quả	Điều_trị disease* suy giãn tĩnh_mạch chi dưới *disease hiệu_quả
Trẻ tiêm phòng cúm về bị sốt cao , ho và chảy nước_mũi	Trẻ tiêm phòng disease* cúm *disease về bị disease* sốt cao *disease , disease* ho *disease và disease* chảy nước_mũi *disease
Uống nhiều bia rượu nôn ra máu dấu_hiệu bệnh gì ?	Uống nhiều bia rượu disease* nôn ra máu *disease dấu_hiệu bệnh gì ?
Trẻ sơ_sinh bị nổi cục cứng ở cổ có nguy_hiểm không ?	Trẻ sơ_sinh bị disease* nổi cục cứng ở cổ *disease có nguy_hiểm không ?
Trẻ đang tập đi nhưng bàn_chân không thẳng có bị vấn_đề xương khớp không ?	Trẻ đang tập đi nhưng disease* bàn_chân không thẳng *disease có bị vấn_đề xương khớp không ?
Nuốt vướng , đau họng có phải dấu_hiệu ung_thư vòm họng không ?	disease* Nuốt vướng *disease , disease* đau họng *disease có phải dấu_hiệu disease* ung_thư vòm họng *disease không ?
Chảy_máu dưới nhện nên làm gì ?	disease* Chảy_máu dưới nhện *disease nên làm gì ?
Trẻ 18 ngày tuổi nên bổ_sung liều_lượng Vitamin_K như_thế_nào ?	Trẻ 18 ngày tuổi nên bổ_sung liều_lượng drug* Vitamin_K *drug như_thế_nào ?
Nồng_độ HCG là 195,4 IU / L liệu đã có_thai chưa ?	Nồng_độ HCG là 195,4 IU / L liệu đã disease* có_thai *disease chưa ?
Hỏi_đáp : Xuất_hiện nhiều vết sọc trên răng có phải bệnh sún răng ở trẻ nhỏ ?	Hỏi_đáp : disease* Xuất_hiện nhiều vết sọc trên răng *disease có phải disease* bệnh sún răng *disease ở trẻ nhỏ ?
Viêm tai giữa chảy mủ điều_trị thế_nào ?	disease* Viêm tai giữa chảy mủ *disease điều_trị thế_nào ?
Sau quan_hệ 3 , 4 ngày đau bụng_dưới râm_ran , hơi tưng_tức có phải dấu_hiệu mang thai không ?	Sau quan_hệ 3 , 4 ngày disease* đau bụng_dưới râm_ran *disease , disease* hơi tưng_tức *disease có phải dấu_hiệu disease* mang thai *disease không ?
Mang thai khi bị suy giáp có nguy_hiểm không ?	disease* Mang thai *disease khi bị disease* suy giáp *disease có nguy_hiểm không ?
Trẻ đổ mồ_hôi đầu có phải thiếu vitamin D không ?	Trẻ đổ disease* mồ_hôi đầu *disease có phải thiếu drug* vitamin D *drug không ?
Sau quan_hệ 1 tuần dùng thuốc tránh thai có tác_dụng nữa không ?	Sau quan_hệ 1 tuần dùng drug* thuốc tránh thai *drug có tác_dụng nữa không ?
Trẻ đã hạ sốt sau khi uống thuốc nhưng đi phân ngoài có nước có nên đưa bé đi khám không ?	Trẻ đã hạ sốt sau khi uống thuốc nhưng disease* đi phân ngoài có nước *disease có nên đưa bé đi khám không ?
Tình_trạng viêm gan B hoạt_động có chỉ_số xét_nghiệm thế_nào ?	Tình_trạng disease* viêm gan B *disease hoạt_động có chỉ_số procedure* xét_nghiệm *procedure thế_nào ?
Triệu_chứng đau thượng_vị kèm theo xuất_hiện đường_dây bên hông là dấu_hiệu nhiễm ký_sinh_trùng ?	Triệu_chứng disease* đau thượng_vị *disease kèm theo disease* xuất_hiện đường_dây bên hông *disease là dấu_hiệu disease* nhiễm ký_sinh_trùng *disease ?
Tức ngực , khó thở , giật_mình khi ngủ là dấu_hiệu bệnh gì ?	disease* Tức ngực *disease , disease* khó thở *disease , disease* giật_mình disease* *disease khi ngủ *disease là dấu_hiệu bệnh gì ?
Phương_pháp điều_trị đột_quỵ não nào tốt nhất ?	Phương_pháp điều_trị disease* đột_quỵ não *disease nào tốt nhất ?
Trẻ hơn 5 tuổi răng_cửa bị sún vào lợi có nên nhổ không ?	Trẻ hơn 5 tuổi disease* răng_cửa bị sún vào lợi *disease có nên procedure* nhổ *procedure không ?
Bệnh u mạch_máu gan có nguy_hiểm không ?	disease* Bệnh u mạch_máu gan *disease có nguy_hiểm không ?
Cổ_họng như bị chặn lại là dấu_hiệu bệnh_lý gì ?	disease* Cổ_họng như bị chặn lại *disease là dấu_hiệu bệnh_lý gì ?
Cơ_thể mệt_mỏi , ớn lạnh có phải do men gan tăng ?	Cơ_thể disease* mệt_mỏi *disease , disease* ớn lạnh *disease có phải do disease* men gan tăng *disease ?
Bị rối_loạn lưỡng_cực phải làm_sao ?	Bị disease* rối_loạn lưỡng_cực *disease phải làm_sao ?
Có_thể phẫu_thuật đục thuỷ_tinh_thể để_mắt sáng lại bình_thường không ?	Có_thể procedure* phẫu_thuật đục thuỷ_tinh_thể *procedure để_mắt sáng lại bình_thường không ?
Lên_cơn hen_suyễn gây chết_não tạm_thời do thiếu oxy não có bình_phục được không ?	Lên_cơn disease* hen_suyễn *disease gây disease* chết_não *disease tạm_thời do disease* thiếu oxy *disease não có bình_phục được không ?
Rối_loạn kinh_nguyệt có được dùng thuốc tránh thai Marvelon ?	disease* Rối_loạn kinh_nguyệt *disease có được dùng drug* thuốc tránh thai Marvelon *drug ?
Ngôi thai cao lỏng là gì , có ảnh_hưởng đến em bé và mẹ không ?	disease* Ngôi thai cao lỏng *disease là gì , có ảnh_hưởng đến em bé và mẹ không ?
Uống thuốc điều_trị viêm tai giữa không khỏi cần phải làm gì ?	Uống thuốc điều_trị disease* viêm tai giữa *disease không khỏi cần phải làm gì ?
Ngoài vắc-xin 6 trong 1 , trẻ dưới 2 tuổi có_thể tiêm thêm những vắc-xin nào ?	Ngoài drug* vắc-xin 6 trong 1 *drug , trẻ dưới 2 tuổi có_thể procedure* tiêm *procedure thêm những vắc-xin nào ?
Bệnh đa hồng_cầu có thuốc chữa và cách điều_trị không ?	disease* Bệnh đa hồng_cầu *disease có thuốc chữa và cách điều_trị không ?
Mất_ngủ , muốn làm đau bản_thân là triệu_chứng của bệnh gì ?	disease* Mất_ngủ *disease , disease* muốn làm đau bản_thân *disease là triệu_chứng của bệnh gì ?
Xuất_hiện thêm trứng dái nằm giữa 2 tinh_hoàn có nguy_hiểm không ?	Xuất_hiện thêm disease* trứng dái nằm giữa 2 tinh_hoàn *disease có nguy_hiểm không ?
Thường_xuyên ê buốt và chảy_máu chân răng phải làm_sao ?	Thường_xuyên disease* ê buốt *disease và disease* chảy_máu chân răng *disease phải làm_sao ?
Phương_pháp giúp cải_thiện tình_trạng sức_khoẻ ở người nghiện rượu	Phương_pháp giúp cải_thiện tình_trạng sức_khoẻ ở người disease* nghiện rượu *disease
Sinh_thiết dưới hướng_dẫn siêu_âm có cho kết_quả chính_xác không ?	procedure* Sinh_thiết *procedure dưới hướng_dẫn procedure* siêu_âm *procedure có cho kết_quả chính_xác không ?
Có nên đưa trẻ đi xét_nghiệm HP ngay hay không khi trẻ ngậm_nước bọt người_lớn ?	Có nên đưa trẻ đi procedure* xét_nghiệm HP *procedure ngay hay không khi trẻ ngậm_nước bọt người_lớn ?
nCoV với virus corona là một bệnh hay hai bệnh khác nhau ?	nCoV với disease* virus corona *disease là một bệnh hay hai bệnh khác nhau ?
Thai 17 tuần đã bị thiếu ối , phải làm thế_nào ?	Thai 17 tuần đã bị disease* thiếu ối *disease , phải làm thế_nào ?
Người lúc nóng lúc lạnh có sao không ?	disease* Người lúc nóng lúc lạnh *disease có sao không ?
Giãn tĩnh_mạch thừng tinh trái có ảnh_hưởng đến khả_năng sinh_sản không ?	disease* Giãn tĩnh_mạch thừng tinh *disease trái có ảnh_hưởng đến khả_năng sinh_sản không ?
Phải làm thế_nào khi âm_đạo có mùi hôi ?	Phải làm thế_nào khi disease* âm_đạo có mùi hôi *disease ?
Bị u mỡ thận có_thể uống sữa Anlene không ?	Bị disease* u mỡ thận *disease có_thể uống drug* sữa Anlene *drug không ?
Bé sơ_sinh bị giãn đài bể thận trái 6mm có nguy_hiểm không ?	Bé sơ_sinh bị disease* giãn đài bể thận trái *disease 6mm có nguy_hiểm không ?
Mụn sưng to kèm sốt sau khi nặn là bị làm_sao ?	disease* Mụn sưng to *disease kèm disease* sốt *disease sau khi nặn là bị làm_sao ?
Sau sinh thường_xuyên chóng_mặt thì phải làm_sao ?	Sau sinh thường_xuyên disease* chóng_mặt *disease thì phải làm_sao ?
Một bên tinh_hoàn sưng đau kèm sốt khi bị quai_bị phải làm_sao ?	disease* Một bên tinh_hoàn sưng đau kèm sốt *disease khi bị disease* quai_bị *disease phải làm_sao ?
Ù tai lâu ngày là dấu_hiệu của bệnh gì ?	disease* Ù tai *disease lâu ngày là dấu_hiệu của bệnh gì ?
Trẻ 5 tuổi lung_lay răng_cửa có_thể nhổ không ?	Trẻ 5 tuổi disease* lung_lay răng_cửa *disease có_thể nhổ không ?
Ứ nước khi đặt ống Sonde_JJ trong niệu_quản có sao không ?	disease* Ứ nước *disease khi đặt ống Sonde_JJ trong niệu_quản có sao không ?
Hỏi_đáp : Thường_xuyên mất tập_trung , hay quên là bệnh gì ?	Hỏi_đáp : disease* Thường_xuyên mất tập_trung , hay quên *disease là bệnh gì ?
Mang thai 27 tuần có chụp MRI khớp gối được không ?	disease* Mang thai *disease 27 tuần có procedure* chụp MRI *procedure khớp gối được không ?
Bé 9 tháng nặng 8,2 kg có phải thiếu sắt không ?	Bé 9 tháng nặng 8,2 kg có phải disease* thiếu sắt *disease không ?
Vết_thương do mèo cắn bị chảy_máu , sưng tấy và mưng mủ đã khỏi nhưng một thời_gian lại tái_phát là hiện_tượng gì ?	Vết_thương do mèo cắn disease* bị chảy_máu *disease , disease* sưng tấy *disease và disease* mưng mủ *disease đã khỏi nhưng một thời_gian lại tái_phát là hiện_tượng gì ?
Bệnh_nhân đã phẫu_thuật cắt dạ_dày 100% sau 4 năm có uống được sữa không ?	Bệnh_nhân đã phẫu_thuật procedure* cắt dạ_dày *procedure 100% sau 4 năm có uống được sữa không ?
Thuốc điều_trị huyết_áp có ảnh_hưởng đến thai_nhi không ?	drug* Thuốc điều_trị huyết_áp *drug có ảnh_hưởng đến thai_nhi không ?
Bé ngạt một bên mũi và thở gấp là bệnh gì , phương_pháp điều_trị ra sao ?	Bé disease* ngạt một bên mũi *disease và disease* thở gấp *disease là bệnh gì , phương_pháp điều_trị ra sao ?
Lõm ở ngực bé có đáng lo không ?	disease* Lõm ở ngực *disease bé có đáng lo không ?
Tụt lợi , lợi hơi sưng đỏ , chảy_máu chân răng là bị làm_sao ?	disease* Tụt lợi *disease , disease* lợi hơi sưng đỏ *disease , disease* chảy_máu chân răng *disease là bị làm_sao ?
Trẻ 5 tuổi còn tiêm phòng lao được không ?	Trẻ 5 tuổi còn procedure* tiêm phòng *procedure disease* lao *disease được không ?
Thuốc imunoglukan có tăng sức đề_kháng và giảm ho cho trẻ sơ_sinh không ?	drug* Thuốc imunoglukan *drug có tăng sức đề_kháng và giảm disease* ho *disease cho trẻ sơ_sinh không ?
U tuyến_yên ( kích_thước 12x6 và 3 x 5 ) liệu có phải mổ không ?	disease* U tuyến_yên *disease ( kích_thước 12x6 và 3 x 5 ) liệu có phải procedure* mổ *procedure không ?
Có cách nào điều_trị viêm tai giữa mà không cần dùng kháng_sinh không ?	Có cách nào điều_trị disease* viêm tai giữa *disease mà không cần dùng drug* kháng_sinh *drug không ?
Bé nổi ban sau sốt , tiêu_chảy là do đâu ?	Bé nổi ban sau disease* sốt *disease , disease* tiêu_chảy *disease là do đâu ?
Bị u tuyến_giáp và tiểu_đường nhẹ có uống được sữa non Alpha_Lipid không ?	Bị disease* u tuyến_giáp *disease và disease* tiểu_đường *disease nhẹ có uống được sữa non Alpha_Lipid không ?
Ho , khó thở sau điều_trị viêm phổi là do đâu ?	disease* Ho *disease , disease* khó thở *disease sau điều_trị disease* viêm phổi *disease là do đâu ?
Quan_hệ chưa xuất_tinh có khả_năng mang thai không ?	Quan_hệ disease* chưa xuất_tinh *disease có khả_năng disease* mang thai *disease không ?
Thai 22 tuần có phá được không ?	disease* Thai *disease 22 tuần có procedure* phá *procedure được không ?
Thường_xuyên mắc tiểu nhưng tiểu ít , đau bụng_dưới có phải nhiễm_trùng đường tiết_niệu không ?	Thường_xuyên mắc tiểu nhưng disease* tiểu ít *disease , disease* đau bụng_dưới *disease có phải disease* nhiễm_trùng đường tiết_niệu *disease không ?
Nguyên_nhân khiến cơ_thể mẩn ngứa trong mùa nắng_nóng	Nguyên_nhân khiến disease* cơ_thể mẩn ngứa *disease trong mùa nắng_nóng
Trẻ bị tay_chân miệng cách_ly bao_lâu ?	Trẻ bị disease* tay_chân miệng *disease cách_ly bao_lâu ?
Buổi chiều bị ớn lạnh , buổi tối người nóng ran là bị làm_sao ?	Buổi chiều bị disease* ớn lạnh *disease , buổi tối disease* người nóng ran *disease là bị làm_sao ?
Ớn lạnh , tiêu_chảy sau quan_hệ tình_dục có nguy_cơ nhiễm HIV không ?	disease* Ớn lạnh *disease , disease* tiêu_chảy *disease sau quan_hệ tình_dục có nguy_cơ nhiễm disease* HIV *disease không ?
Làm thế_nào để trẻ sơ_sinh ăn ngon và ngủ sâu giấc hơn ?	Làm thế_nào để trẻ sơ_sinh disease* ăn ngon *disease và disease* ngủ sâu giấc *disease hơn ?
Da dương_vật nổi mụn , có mùi hôi , chảy_máu là dấu_hiệu bệnh_lý gì ?	disease* Da dương_vật nổi mụn *disease , disease* có mùi hôi *disease , disease* chảy_máu *disease là dấu_hiệu bệnh_lý gì ?
Trẻ 19 tháng mới tiêm mũi sởi quai_bị rubella có sao không ?	Trẻ 19 tháng mới procedure* tiêm *procedure mũi sởi quai_bị rubella có sao không ?
Trẻ bú ít hay nôn và rùng_mình có phải dấu_hiệu viêm màng não ?	Trẻ bú ít hay disease* nôn *disease và disease* rùng_mình *disease có phải dấu_hiệu disease* viêm màng não *disease ?
Hỏi_đáp : Đau ngực phải kèm theo nổi hạch là dấu_hiệu bệnh gì ?	Hỏi_đáp : disease* Đau ngực phải kèm theo nổi hạch *disease là dấu_hiệu bệnh gì ?
Bé 10 tuổi có những biểu_hiện của bệnh tự kỷ nhẹ nên xử_lý như_thế_nào ?	Bé 10 tuổi có những biểu_hiện của bệnh disease* tự kỷ *disease nhẹ nên xử_lý như_thế_nào ?
Quan_hệ chưa xuất_tinh và uống thuốc tránh thai khẩn_cấp liệu có_thai không ?	Quan_hệ disease* chưa xuất_tinh *disease và uống thuốc tránh thai khẩn_cấp liệu có_thai không ?
Phụ_nữ 40 tuổi thường đau bụng_dưới cảnh_báo điều gì ?	Phụ_nữ 40 tuổi thường disease* đau bụng_dưới *disease cảnh_báo điều gì ?
Trẻ sơ_sinh có đốt_sống bị lồi ra ở ngang eo có đáng lo không ?	Trẻ sơ_sinh có đốt_sống bị disease* lồi ra ở ngang eo *disease có đáng lo không ?
Bị chấn_thương mắt có cần kiêng các loại thức_ăn hay không ?	Bị disease* chấn_thương mắt *disease có cần kiêng các loại thức_ăn hay không ?
Mức_độ nhiễm tia bức_xạ khi chụp X quang phổi có cao không ?	Mức_độ nhiễm tia bức_xạ khi procedure* chụp X quang phổi *procedure có cao không ?
Cách đây 2 năm , bố tôi được chẩn_đoán bị phình động_mạch não nhưng bác_sỹ tư_vấn không điều_trị .	Cách đây 2 năm , bố tôi được chẩn_đoán bị disease* phình động_mạch não *disease nhưng bác_sỹ tư_vấn không điều_trị .
Mất_ngủ có phải là bệnh ?	disease* Mất_ngủ *disease có phải là bệnh ?
Thuốc Tenofovir_Alafenamide_Tablets có ảnh_hưởng đến thai_nhi không ?	drug* Thuốc Tenofovir_Alafenamide_Tablets *drug có ảnh_hưởng đến thai_nhi không ?
Tiểu mất kiểm_soát kèm ra máu , đau buốt là dấu_hiệu bệnh gì , có nguy_hiểm không ?	disease* Tiểu mất kiểm_soát *disease disease* kèm ra máu *disease , disease* đau buốt *disease là dấu_hiệu bệnh gì , có nguy_hiểm không ?
Viêm kết_mạc tái_phát điều_trị thế_nào ?	disease* Viêm kết_mạc *disease tái_phát điều_trị thế_nào ?
Nam_giới 32 tuổi bị đau_đầu kèm chảy_máu mũi là bị vấn_đề gì ?	Nam_giới 32 tuổi bị disease* đau_đầu *disease kèm disease* chảy_máu mũi *disease là bị vấn_đề gì ?
Lạm_dụng thuốc giảm đau có dẫn đến đau_đầu , buồn_nôn không ?	Lạm_dụng drug* thuốc giảm đau *drug có dẫn đến disease* đau_đầu *disease , disease* buồn_nôn *disease không ?
Hỏi_đáp : Có mấy loại sỏi mật và triệu_chứng nhận_biết sỏi mật ?	Hỏi_đáp : Có mấy loại disease* sỏi mật *disease và triệu_chứng nhận_biết disease* sỏi mật *disease ?
Chăm_sóc sức_khoẻ tại nhà cho trẻ mắc bệnh Tai - Mũi - Họng như_thế_nào ?	Chăm_sóc sức_khoẻ tại nhà cho trẻ mắc bệnh disease* Tai - Mũi - Họng *disease như_thế_nào ?
Bị liệt dây_thần_kinh số VII nhiều năm có_thể mổ chỉnh_hình khuôn_mặt được không ?	Bị disease* liệt dây_thần_kinh số VII *disease nhiều năm có_thể procedure* mổ chỉnh_hình khuôn_mặt *procedure được không ?
Mặt đỏ rát sau khi bị điện nổ có nguy_hiểm không ?	disease* Mặt đỏ rát *disease sau khi bị điện nổ có nguy_hiểm không ?
Đau sau zona thần_kinh có_thể chích Corticosteroid giảm đau được không ?	disease* Đau *disease sau disease* zona thần_kinh *disease có_thể procedure* chích *procedure drug* Corticosteroid *drug drug* giảm đau *drug được không ?
